Data;Linha;Sentido;Prefixo;Tabela;Programado;Inicio Real;Fim Real;Qtd. Pass.;Encerrante;Observação
2022-08-31;U194_AGO22;Ida;5025;1M;03:25;23:24;23:26;1231;12312312;3
2022-08-31;U194_AGO22;Ida;;1M;04:30;;;;;
2022-08-31;U194_AGO22;Ida;;2M;05:34;;;;;
2022-08-31;U194_AGO22;Ida;;1M;06:03;;;;;
2022-08-31;U194_AGO22;Ida;;3M;06:24;;;;;
2022-08-31;U194_AGO22;Ida;;4M;06:44;;;;;
2022-08-31;U194_AGO22;Ida;;2M;07:04;;;;;
2022-08-31;U194_AGO22;Ida;;5M;07:18;;;;;
2022-08-31;U194_AGO22;Ida;;1M;07:32;;;;;
2022-08-31;U194_AGO22;Ida;;3M;07:52;;;;;
2022-08-31;U194_AGO22;Ida;;4M;08:17;;;;;
2022-08-31;U194_AGO22;Ida;;2M;08:42;;;;;
2022-08-31;U194_AGO22;Ida;;1M;09:07;;;;;
2022-08-31;U194_AGO22;Ida;;3M;09:32;;;;;
2022-08-31;U194_AGO22;Ida;;4M;09:57;;;;;
2022-08-31;U194_AGO22;Ida;;2M;10:22;;;;;
2022-08-31;U194_AGO22;Ida;;1M;10:47;;;;;
2022-08-31;U194_AGO22;Ida;;5M;11:12;;;;;
2022-08-31;U194_AGO22;Ida;;4M;11:37;;;;;
2022-08-31;U194_AGO22;Ida;;6M;12:02;;;;;
2022-08-31;U194_AGO22;Ida;;7M;12:26;;;;;
2022-08-31;U194_AGO22;Ida;;3M;12:50;;;;;
2022-08-31;U194_AGO22;Ida;;5M;13:14;;;;;
2022-08-31;U194_AGO22;Ida;;2M;13:38;;;;;
2022-08-31;U194_AGO22;Ida;;6M;14:03;;;;;
2022-08-31;U194_AGO22;Ida;;7M;14:23;;;;;
2022-08-31;U194_AGO22;Ida;;3M;14:43;;;;;
2022-08-31;U194_AGO22;Ida;;5M;15:05;;;;;
2022-08-31;U194_AGO22;Ida;;4M;15:25;;;;;
2022-08-31;U194_AGO22;Ida;;6M;15:45;;;;;
2022-08-31;U194_AGO22;Ida;;7M;16:05;;;;;
2022-08-31;U194_AGO22;Ida;;8M;16:25;;;;;
2022-08-31;U194_AGO22;Ida;;5M;16:45;;;;;
2022-08-31;U194_AGO22;Ida;;4M;17:07;;;;;
2022-08-31;U194_AGO22;Ida;;6M;17:29;;;;;
2022-08-31;U194_AGO22;Ida;;7M;17:49;;;;;
2022-08-31;U194_AGO22;Ida;;8M;18:13;;;;;
2022-08-31;U194_AGO22;Ida;;5M;18:37;;;;;
2022-08-31;U194_AGO22;Ida;;6M;19:32;;;;;
2022-08-31;U194_AGO22;Ida;;8M;20:29;;;;;
2022-08-31;U194_AGO22;Ida;;7M;21:18;;;;;
2022-08-31;U194_AGO22;Ida;;6M;21:44;;;;;
2022-08-31;U194_AGO22;Ida;;8M;22:00;;;;;
2022-08-31;U194_AGO22;Ida;;8M;23:30;;;;;
2022-08-31;U194_AGO22;Ida;;8M;00:58;;;;;
2022-08-31;U194_AGO22;Ida;;8M;02:26;;;;;
