Data;Linha;Sentido;Prefixo;Tabela;Programado;Inicio Real;Fim Real;Qtd. Pass.;Encerrante;Observação
2022-08-31;U194_AGO22;Volta;;1M;03:50;;;;;
2022-08-31;U194_AGO22;Volta;;2M;04:26;;;;;
2022-08-31;U194_AGO22;Volta;;1M;05:00;;;;;
2022-08-31;U194_AGO22;Volta;;3M;05:34;;;;;
2022-08-31;U194_AGO22;Volta;;2M;06:05;;;;;
2022-08-31;U194_AGO22;Volta;;1M;06:36;;;;;
2022-08-31;U194_AGO22;Volta;;3M;07:02;;;;;
2022-08-31;U194_AGO22;Volta;;4M;07:23;;;;;
2022-08-31;U194_AGO22;Volta;;2M;07:47;;;;;
2022-08-31;U194_AGO22;Volta;;5M;08:04;;;;;
2022-08-31;U194_AGO22;Volta;;1M;08:18;;;;;
2022-08-31;U194_AGO22;Volta;;3M;08:39;;;;;
2022-08-31;U194_AGO22;Volta;;4M;09:05;;;;;
2022-08-31;U194_AGO22;Volta;;2M;09:30;;;;;
2022-08-31;U194_AGO22;Volta;;1M;09:53;;;;;
2022-08-31;U194_AGO22;Volta;;3M;10:17;;;;;
2022-08-31;U194_AGO22;Volta;;4M;10:40;;;;;
2022-08-31;U194_AGO22;Volta;;2M;11:03;;;;;
2022-08-31;U194_AGO22;Volta;;1M;11:28;;;;;
2022-08-31;U194_AGO22;Volta;;5M;11:53;;;;;
2022-08-31;U194_AGO22;Volta;;4M;12:20;;;;;
2022-08-31;U194_AGO22;Volta;;6M;12:44;;;;;
2022-08-31;U194_AGO22;Volta;;7M;13:09;;;;;
2022-08-31;U194_AGO22;Volta;;3M;13:35;;;;;
2022-08-31;U194_AGO22;Volta;;5M;14:07;;;;;
2022-08-31;U194_AGO22;Volta;;2M;14:28;;;;;
2022-08-31;U194_AGO22;Volta;;6M;14:50;;;;;
2022-08-31;U194_AGO22;Volta;;7M;15:08;;;;;
2022-08-31;U194_AGO22;Volta;;3M;15:28;;;;;
2022-08-31;U194_AGO22;Volta;;5M;15:51;;;;;
2022-08-31;U194_AGO22;Volta;;4M;16:12;;;;;
2022-08-31;U194_AGO22;Volta;;6M;16:32;;;;;
2022-08-31;U194_AGO22;Volta;;7M;16:52;;;;;
2022-08-31;U194_AGO22;Volta;;8M;17:12;;;;;
2022-08-31;U194_AGO22;Volta;;5M;17:33;;;;;
2022-08-31;U194_AGO22;Volta;;4M;17:58;;;;;
2022-08-31;U194_AGO22;Volta;;6M;18:22;;;;;
2022-08-31;U194_AGO22;Volta;;7M;18:41;;;;;
2022-08-31;U194_AGO22;Volta;;8M;19:04;;;;;
2022-08-31;U194_AGO22;Volta;;6M;20:11;;;;;
2022-08-31;U194_AGO22;Volta;;8M;21:07;;;;;
2022-08-31;U194_AGO22;Volta;;7M;21:53;;;;;
2022-08-31;U194_AGO22;Volta;;6M;22:20;;;;;
2022-08-31;U194_AGO22;Volta;;8M;22:40;;;;;
2022-08-31;U194_AGO22;Volta;;8M;00:04;;;;;
2022-08-31;U194_AGO22;Volta;;8M;01:22;;;;;
2022-08-31;U194_AGO22;Volta;;8M;02:47;;;;;
