Tripulante;Tipo;Evento;Início;Origem;Destino;Fim;Tempo;Layover;Bloco;Linha;Tipo Viagem;Sentido;Chegada garagem;Veículo;Mensagem;Funcionário
1M;Motorista;Deslocamento;03:00;BASE2;FER;03:25;00:25;00:00;1;;;;03:00;4919;;
1M;Motorista;Viagem;03:25;FER;GEN73;03:50;00:25;00:00;1;4;Normal;Ida;03:25;4919;;
1M;Motorista;Viagem;03:50;GEN73;FER;04:19;00:29;00:11;1;4;Normal;Volta;03:50;4919;;
2M;Motorista;Deslocamento;04:16;BASE2;GEN73;04:26;00:10;00:00;2;;;;04:16;4700;;
2M;Motorista;Viagem;04:26;GEN73;FER;04:59;00:33;00:35;2;4;Normal;Volta;04:26;4700;;
1M;Motorista;Viagem;04:30;FER;GEN73;05:00;00:30;00:00;1;4;Normal;Ida;04:19;4919;;
1M;Motorista;Viagem;05:00;GEN73;FER;05:33;00:33;00:00;1;4;Normal;Volta;05:00;4919;;
3M;Motorista;Deslocamento;05:24;BASE2;GEN73;05:34;00:10;00:00;3;;;;05:24;4928;;
1M;Motorista;Intra-jornada não remunerada padrão;05:33;FER;FER;06:03;00:30;00:00;;;;;05:33;;;
2M;Motorista;Viagem;05:34;FER;GEN73;06:05;00:31;00:00;2;4;Normal;Ida;04:59;4700;;
3M;Motorista;Viagem;05:34;GEN73;FER;06:07;00:33;00:17;3;4;Normal;Volta;05:34;4928;;
1M;Motorista;Viagem;06:03;FER;GEN73;06:36;00:33;00:00;1;4;Normal;Ida;06:03;4919;;
2M;Motorista;Viagem;06:05;GEN73;FER;06:43;00:38;00:21;2;4;Normal;Volta;06:05;4700;;
4M;Motorista;Deslocamento;06:19;BASE2;FER;06:44;00:25;00:00;4;;;;06:19;4926;;
3M;Motorista;Viagem;06:24;FER;GEN73;07:02;00:38;00:00;3;4;Normal;Ida;06:07;4928;;
1M;Motorista;Viagem;06:36;GEN73;FER;07:14;00:38;00:18;1;4;Normal;Volta;06:36;4919;;
4M;Motorista;Viagem;06:44;FER;GEN73;07:23;00:39;00:00;4;4;Normal;Ida;06:44;4926;;
5M;Motorista;Deslocamento;06:53;BASE2;FER;07:18;00:25;00:00;5;;;;06:53;4711;;
3M;Motorista;Viagem;07:02;GEN73;FER;07:45;00:43;00:07;3;4;Normal;Volta;07:02;4928;;
2M;Motorista;Viagem;07:04;FER;GEN73;07:47;00:43;00:00;2;4;Normal;Ida;06:43;4700;;
5M;Motorista;Viagem;07:18;FER;GEN73;08:04;00:46;00:00;5;4;Normal;Ida;07:18;4711;;
4M;Motorista;Viagem;07:23;GEN73;FER;08:08;00:45;00:09;4;4;Normal;Volta;07:23;4926;;
1M;Motorista;Viagem;07:32;FER;GEN73;08:18;00:46;00:00;1;4;Normal;Ida;07:14;4919;;
2M;Motorista;Viagem;07:47;GEN73;FER;08:31;00:44;00:11;2;4;Normal;Volta;07:47;4700;;
3M;Motorista;Viagem;07:52;FER;GEN73;08:39;00:47;00:00;3;4;Normal;Ida;07:45;4928;;
5M;Motorista;Viagem;08:04;GEN73;FER;08:47;00:43;00:00;5;4;Normal;Volta;08:04;4711;;
4M;Motorista;Viagem;08:17;FER;GEN73;09:05;00:48;00:00;4;4;Normal;Ida;08:08;4926;;
1M;Motorista;Viagem;08:18;GEN73;FER;08:59;00:41;00:08;1;4;Normal;Volta;08:18;4919;;
3M;Motorista;Viagem;08:39;GEN73;FER;09:20;00:41;00:12;3;4;Normal;Volta;08:39;4928;;
2M;Motorista;Viagem;08:42;FER;GEN73;09:30;00:48;00:00;2;4;Normal;Ida;08:31;4700;;
5M;Motorista;Intra-jornada não remunerada padrão;08:47;FER;FER;10:47;02:00;00:00;;;;;08:47;;;
4M;Motorista;Viagem;09:05;GEN73;FER;09:50;00:45;00:07;4;4;Normal;Volta;09:05;4926;;
1M;Motorista;Viagem;09:07;FER;GEN73;09:53;00:46;00:00;1;4;Normal;Ida;08:59;4919;;
2M;Motorista;Viagem;09:30;GEN73;FER;10:17;00:47;00:05;2;4;Normal;Volta;09:30;4700;;
3M;Motorista;Viagem;09:32;FER;GEN73;10:17;00:45;00:00;3;4;Normal;Ida;09:20;4928;;
1M;Motorista;Viagem;09:53;GEN73;FER;10:40;00:47;00:07;1;4;Normal;Volta;09:53;4919;;
4M;Motorista;Viagem;09:57;FER;GEN73;10:40;00:43;00:00;4;4;Normal;Ida;09:50;4926;;
3M;Motorista;Viagem;10:17;GEN73;FER;11:04;00:47;00:00;3;4;Normal;Volta;10:17;4928;;
2M;Motorista;Viagem;10:22;FER;GEN73;11:03;00:41;00:00;2;4;Normal;Ida;10:17;4700;;
4M;Motorista;Viagem;10:40;GEN73;FER;11:27;00:47;00:10;4;4;Normal;Volta;10:40;4926;;
1M;Motorista;Viagem;10:47;FER;GEN73;11:28;00:41;00:00;1;4;Normal;Ida;10:40;4919;;
5M;Motorista;Preparo no terminal;10:47;FER;FER;11:12;00:25;00:00;;;;;10:47;;;
2M;Motorista;Viagem;11:03;GEN73;FER;11:51;00:48;00:00;2;4;Normal;Volta;11:03;4700;;
3M;Motorista;Intra-jornada não remunerada padrão;11:04;FER;FER;12:50;01:46;00:00;;;;;11:04;;;
5M;Motorista;Viagem;11:12;FER;GEN73;11:53;00:41;00:00;5;4;Normal;Ida;11:12;4711;;
1M;Motorista;Viagem;11:28;GEN73;FER;12:16;00:48;00:00;1;4;Normal;Volta;11:28;4919;;
4M;Motorista;Viagem;11:37;FER;GEN73;12:20;00:43;00:00;4;4;Normal;Ida;11:27;4926;;
2M;Motorista;Intra-jornada não remunerada padrão;11:51;FER;FER;13:38;01:47;00:00;;;;;11:51;;;
5M;Motorista;Viagem;11:53;GEN73;FER;12:42;00:49;00:32;5;4;Normal;Volta;11:53;4711;;
6M;Motorista;Viagem;12:02;FER;GEN73;12:44;00:42;00:00;2;4;Normal;Ida;12:02;4700;;
1M;Motorista;Entrega de féria;12:16;FER;FER;12:46;00:30;00:00;;;;;12:16;;;
4M;Motorista;Viagem;12:20;GEN73;FER;13:12;00:52;00:00;4;4;Normal;Volta;12:20;4926;;
7M;Motorista;Viagem;12:26;FER;GEN73;13:09;00:43;00:00;1;4;Normal;Ida;12:26;4919;;
6M;Motorista;Viagem;12:44;GEN73;FER;13:35;00:51;00:28;2;4;Normal;Volta;12:44;4700;;
3M;Motorista;Viagem;12:50;FER;GEN73;13:35;00:45;00:00;3;4;Normal;Ida;12:50;4928;;
7M;Motorista;Viagem;13:09;GEN73;FER;13:57;00:48;00:26;1;4;Normal;Volta;13:09;4919;;
4M;Motorista;Intra-jornada não remunerada padrão;13:12;FER;FER;15:12;02:00;00:00;;;;;13:12;;;
5M;Motorista;Viagem;13:14;FER;GEN73;14:07;00:53;00:00;5;4;Normal;Ida;12:42;4711;;
3M;Motorista;Viagem;13:35;GEN73;FER;14:22;00:47;00:21;3;4;Normal;Volta;13:35;4928;;
2M;Motorista;Viagem;13:38;FER;GEN73;14:28;00:50;00:00;4;4;Normal;Ida;13:38;4926;;
6M;Motorista;Viagem;14:03;FER;GEN73;14:50;00:47;00:00;2;4;Normal;Ida;13:35;4700;;
5M;Motorista;Viagem;14:07;GEN73;FER;14:53;00:46;00:12;5;4;Normal;Volta;14:07;4711;;
7M;Motorista;Viagem;14:23;FER;GEN73;15:08;00:45;00:00;1;4;Normal;Ida;13:57;4919;;
2M;Motorista;Viagem;14:28;GEN73;FER;15:14;00:46;00:00;4;4;Normal;Volta;14:28;4926;;
3M;Motorista;Viagem;14:43;FER;GEN73;15:28;00:45;00:00;3;4;Normal;Ida;14:22;4928;;
6M;Motorista;Viagem;14:50;GEN73;FER;15:36;00:46;00:09;2;4;Normal;Volta;14:50;4700;;
5M;Motorista;Viagem;15:05;FER;GEN73;15:51;00:46;00:00;5;4;Normal;Ida;14:53;4711;;
7M;Motorista;Viagem;15:08;GEN73;FER;15:54;00:46;00:11;1;4;Normal;Volta;15:08;4919;;
4M;Motorista;Preparo no terminal;15:12;FER;FER;15:25;00:13;00:00;;;;;15:12;;;
2M;Motorista;Entrega de féria;15:14;FER;FER;15:44;00:30;00:00;;;;;15:14;;;
4M;Motorista;Viagem;15:25;FER;GEN73;16:12;00:47;00:00;4;4;Normal;Ida;15:25;4926;;
3M;Motorista;Viagem;15:28;GEN73;FER;16:14;00:46;00:00;3;4;Normal;Volta;15:28;4928;;
6M;Motorista;Viagem;15:45;FER;GEN73;16:32;00:47;00:00;2;4;Normal;Ida;15:36;4700;;
5M;Motorista;Viagem;15:51;GEN73;FER;16:38;00:47;00:07;5;4;Normal;Volta;15:51;4711;;
7M;Motorista;Viagem;16:05;FER;GEN73;16:52;00:47;00:00;1;4;Normal;Ida;15:54;4919;;
4M;Motorista;Viagem;16:12;GEN73;FER;17:01;00:49;00:06;4;4;Normal;Volta;16:12;4926;;
3M;Motorista;Entrega de féria;16:14;FER;FER;16:44;00:30;00:00;;;;;16:14;;;
8M;Motorista;Viagem;16:25;FER;GEN73;17:12;00:47;00:00;3;4;Normal;Ida;16:25;4928;;
6M;Motorista;Viagem;16:32;GEN73;FER;17:22;00:50;00:07;2;4;Normal;Volta;16:32;4700;;
5M;Motorista;Viagem;16:45;FER;GEN73;17:33;00:48;00:00;5;4;Normal;Ida;16:38;4711;;
7M;Motorista;Viagem;16:52;GEN73;FER;17:44;00:52;00:05;1;4;Normal;Volta;16:52;4919;;
